day_of_week,member_casual,rides,avg_duration_min
Monday,casual,63001,22.007641677645328
Monday,member,167629,11.89287374698491
Tuesday,casual,58113,18.700680570612427
Tuesday,member,183840,11.98481505657093
Wednesday,casual,62841,18.928258090524764
Wednesday,member,194801,11.978302986124302
Thursday,casual,59142,17.596853336038688
Thursday,member,184060,11.470742239849326
Friday,casual,70729,20.51182494686291
Friday,member,159907,11.724905934908
Saturday,casual,105291,25.582209622221587
Saturday,member,141314,13.849142807270805
Sunday,casual,81465,26.271433335379204
Sunday,member,118609,13.575810717005735
